appname,freq,correct_appname
qd pp,3,
a 20,3,
yan mobile ffs,3,
vas episode,3,
melt,3,
m mail,3,
lep s world 3,3,
of tiktok,3,
studysmarter,3,
qq whatsapp ,3,
me whatsapp,3,
s  whatsapp,3,
os ethica,3,
galleria a,3,
to,3,
cc  instagram,3,
co youtube ,3,
impostazioni x,3,
fm whatsapp,3,
co youtube,3,
football tv,3,
io whatsapp 4,3,
mr whatsapp y,3,
samsung notes,3,
minecraft,3,
4g,3,
a2,3,
q  orologio ,3,
safari   y,3,
p,3,
co,3,
fotos,3,
0 tiktok 5,3,
whatsapp j,3,
tiktok 2,3,
cmai,3,
music y,3,
tiktok com,3,
p tiktok,3,
whatsapp   y,3,
phone,3,
gallery ,3,
s tiktok,3,
a impostazioni,3,
sbb mobile,3,
firefox,3,
calendario,3,
7   ethica,3,
traduttore y,3,
tabs,3,
pt,3,
a 4,3,
7 24,3,
tc  tiktok,3,
os whatsapp,3,
ts castle crush ,3,
capcut,3,
f facebook,3,
oo netflix,3,
f droid ,3,
ft tiktok,3,
g  telegram,3,
zi clash royale,3,
oa whatsapp,3,
geometry lite,3,
sc  instagram,3,
tellonym y,3,
9  smartthings ,3,
oo 17,2,
oh,2,
i  tiktok,2,
moice memos,2,
ne 10,2,
moodle edu ti ch,2,
oo whatsapp y,2,
e  duolingo,2,
moodle,2,
e  chrome r,2,
ds tiktok,2,
rthica,2,
melie,2,
safa,2,
s pp,2,
i tiktok,2,
comandi rapidi,2,
helix jump,2,
cs  tiktok,2,
s  instagram,2,
s  fotocamera y,2,
meteoswiss,2,
messaggi 5,2,
s  143,2,
musica i,2,
converterblack y,2,
converterblack,2,
i 53,2,
messaggi ,2,
cy safari,2,
memo vocali y,2,
dp,2,
ome,2,
s mtal  ers,2,
hi,2,
ry ethica,2,
d whatsapp 5,2,
ne,2,
oo google     ,2,
hoyolab,2,
depop,2,
oo discord   4,2,
onan ln  ee   eeee,2,
dict leo org,2,
clock 5,2,
s 25,2,
galleria   2,2,
maps,2,
gi instagram,2,
genius scan,2,
io twitch,2,
pinterest y,2,
flow free,2,
oc youtube 4,2,
fitbit 5,2,
play store,2,
fishdom,2,
files,2,
oc,2,
poel discord 5,2,
feel discord,2,
instagram z,2,
fe,2,
oe fotocamera y,2,
j tiktok y,2,
fancade,2,
j z,2,
f3 chess,2,
if tiktok,2,
f facebook 5,2,
f  tiktok,2,
preview ffs,2,
f  chess,2,
gen sh tidebitafereeie x,2,
ge,2,
h tiktok   y,2,
oe  youtube ,2,
g snapchat,2,
in,2,
oto music ,2,
g google 2,2,
outlook q,2,
in ram,2,
safa 5,2,
g  orologio,2,
oy,2,
in tiktok,2,
oy hay day,2,
p last day on earth  survival,2,
instagram s,2,
fthica,2,
imovie,2,
phone 5,2,
instagram   2,2,
oe 13,2,
od tiktok y,2,
oe 32,2,
free music,2,
instagram j,2,
photos y,2,
ig google,2,
orologio j,2,
o snapchat,2,
o pp,2,
rc  cstimer net,2,
life360 j,2,
r  snapchat,2,
o  instagram,2,
lock,2,
ee 72,2,
ee 26,2,
ee 243,2,
ns,2,
ee 15,2,
lut,2,
notes,2,
or,2,
ke,2,
re,2,
ea  onedrive ,2,
e youtube y,2,
gs soogie,2,
gx snapchat,2,
e snapchat 5,2,
gy snapchat,2,
e impostazioni,2,
rm whatsapp,2,
e fotocamera,2,
madfut y,2,
o  youtube ,2,
en,2,
qj o 0,2,
gs,2,
ethica x,2,
ethica s,2,
onefootball 5,2,
ethica 4,2,
l telefono,2,
orologio 2,2,
q maps ,2,
google 5,2,
es mobile ffs,2,
google ch y,2,
ie genshin impact,2,
legions r,2,
es,2,
o bhs,2,
q whatsapp 7,2,
eo youtube ny,2,
eo youtube ,2,
eo whatsapp,2,
qd  whatsapp,2,
eo chrome,2,
leri  29 marzo,2,
life360 5,2,
ene note,2,
i 20,2,
moodle x,2,
st tiktok,2,
4 puoi impostare timer giornalieri,2,
aq pp,2,
aq min,2,
widgetsmith,2,
4h,2,
ao whatsapp,2,
star walk 2,2,
whatsapp i,2,
whatsapp c,2,
streamingcommunity icu,2,
whatsapp a,2,
stumble guys y,2,
6  spotify   2,2,
6  tiktok,2,
swiss ice hockey y,2,
6 tiktok,2,
7,2,
whaisapp,2,
7  clash royale,2,
we whatsapp,2,
